=== 198 NEFFs profiled ===

neff            cnt    tot_us    wtot_us  gpsimd%  tensor%  vector%    dma%
6646a504b24d78    1      14.0       14.0     28.0     13.8     13.3     3.8
6bd210aa6a9b6f    1   61720.7    61720.7     75.5      2.3      0.7    11.1
6dc90db9b08981    1      17.8       17.8     23.6     16.9     10.8    13.7
6f33ac63526f80    1      23.9       23.9     31.2     24.6     11.3    34.1
7004e59f2035a1    1      16.4       16.4     23.4     11.8     15.0    11.0
70e3bb8069d35b    1      13.9       13.9     28.2     13.9     11.8     4.4
73a0c833121aa0    1     186.0      186.0      9.8     86.9     40.4     9.2
7522dd6a1f0e1f    1      21.2       21.2     55.6      9.1     22.8    36.6
75fb4b6fa0e5ac    1     116.9      116.9      7.4     75.4     25.1     6.1
7630ba5239b6f9    1      11.9       11.9     22.2     16.3     13.9    20.6
763860ddf4f4ce    1      12.8       12.8     36.4     15.1     12.9    10.0
778a336cc0d70c    1  380733.4   380733.4     75.3      2.6      1.6    12.2
7a495139acfa96    1      15.9       15.9     19.1     13.7     12.7     2.8
7aa21de53a5cb7    1      12.2       12.2     28.9     15.8     17.9     8.0
7c25a32436cedf    1      14.3       14.3     27.6     13.5     14.6     5.8
7d504cbb987828    1      30.4       30.4     27.5     39.0     24.5    27.7
831878710c9629    1     636.6      636.6     42.8     10.4     18.8    48.7
847575b5a846c4    1      15.2       15.2     31.5     18.2     12.3    10.2
86314005311eae    1      13.9       13.9     34.4     14.4     13.2    25.6
87c8f467c7c03a    1      14.4       14.4     28.7     13.7     16.9     5.9
87e9b2c300283b    1      12.9       12.9     35.8     14.9     14.9     6.7
88098bbb7fe1b9    1   24497.3    24497.3     69.5      3.8      1.7    19.3
883aa7da2fe849    1      26.4       26.4     26.5     20.0     10.2    40.7
8e23b1d640923d    1      18.9       18.9     56.5     11.1     25.1    27.5
9294797e3d8592    1      17.4       17.4     33.2     12.5     15.2    15.1
934ac99d517157    1      19.8       19.8     46.2      9.8     12.5    26.2
93d8a9804a9bfa    1      13.2       13.2     31.1     15.1     15.9     6.3
94bf121a5b840a    1      14.6       14.6     32.1     17.7     12.8    10.9
94e299e4a6b0d4    1      15.2       15.2     31.4     12.7     11.8    13.0
9529876e64e1f3    1      16.2       16.2     20.0     14.6     12.6     4.9
952d9840258afb    1      13.4       13.4     29.3     18.1     13.9     7.7
97438efee95bfc    1      18.4       18.4     57.2     10.5     19.5    32.0
9a555da6f43428    1   11642.0    11642.0     75.8      2.4      1.1    11.5
9aa7ae2c5ed79a    1      20.7       20.7     53.1      9.4     12.0    37.7
9aae53682a9e0c    1      15.1       15.1     49.6     12.8     10.9    26.2
9b700ee3b6ad91    1      37.3       37.3     46.9      5.2     23.4    31.8
9c9c4dd7e1f066    1    4075.7     4075.7      1.9     50.8     19.2    49.9
9dc6ebced87b71    1      14.0       14.0     24.1     13.8     12.8     7.4
9e57ffbc1db401    1      28.7       28.7     33.0     31.0     15.0    46.5
9f35f2a76ac6e2    1      13.2       13.2     34.5     14.6     14.5     4.6
9fe776f0d97ed8    1      21.2       21.2     28.5     22.1      9.1    27.5
a5bd26718987b2    1      20.9       20.9     59.1      9.3      7.9    48.3
a6738d332ff3a8    1      24.8       24.8     26.0     27.9      7.5    28.8
a96abd06f941e1    1      19.6       19.6     46.7      9.8     18.5    26.2
aa11368b126d25    1      13.3       13.3     27.3     14.5     12.4     8.5
ab4398fdb97a15    1      13.0       13.0     30.6     14.8     14.7     6.8
ab9b5da50bebaf    1      12.2       12.2     37.3     15.8     13.4     6.5
adbfcd900bdb58    1      24.0       24.0     33.9     28.1     12.0    37.2
ae703e8d9eeba8    1     122.8      122.8     76.2      1.6     31.2    56.1
ae9069a868053a    1      16.3       16.3     23.6     11.9     17.1    11.8
aef576bb71538f    1      16.4       16.4     41.3     11.7     17.2    25.7
af40fa84ec0335    1      15.9       15.9     50.6     12.1     10.4    31.5
af94de80f360b2    1      12.6       12.6     29.2     15.3     19.0    11.5
b00d02084c5181    1   10393.9    10393.9     55.4      4.2      4.4    21.7
b05f80e444ae1b    1      16.8       16.8     40.5     11.5      9.8    28.3
b09d1d82bcfcf8    1      15.1       15.1     43.0     12.8     17.3    21.3
b0aaa865e82cd7    1      14.6       14.6     27.4     13.3     14.3     6.6
b2463214da67da    1      19.4       19.4     33.9      9.9      8.5    38.8
b348f31a7943ff    1      14.5       14.5     28.3     13.6     16.6     5.2
b8332e3ddc3ba7    1      14.6       14.6     23.0     13.2     18.3     7.2
b8c0a69ab6993d    1      23.1       23.1     18.5      8.3      9.8    37.5
b9a262f944d0ca    1      12.6       12.6     26.1     15.4     13.1    25.6
b9ea650d819a9f    1      14.6       14.6     27.8     13.2     16.8     6.4
bcb2576f37f712    1      80.9       80.9     13.1     76.6     27.5     7.5
bf554871cd5eeb    1     972.9      972.9     79.3      0.2     15.6    46.8
bf99f912999e77    1      12.6       12.6     35.6     15.3     13.0     8.4
